"Improve","Key","Value","Cell"
13.0137972763655,"Lat",-7.5,1
11.1416948022602,"Lon",42.5,1
6.56294419725509,"Lon",37.5,1
6.12773656422087,"Lon",47.5,1
5.28198573287955,"Lat",-12.5,1
2.89132673046697,"Lat",-17.5,1
2.51787309272368,"Lon",67.5,2
2.22513126141212,"Lat",2.5,2
1.99114868855759,"Lon",47.5,2
1.7663344814996,"Lon",72.5,1
1.64862462393148,"Lon",52.5,2
1.60551652251888,"Lon",57.5,1
1.56708239610816,"Lon",72.5,2
1.50371548541625,"Lon",62.5,1
1.38352788288375,"Lon",82.5,1
1.28092021394878,"Lon",42.5,2
1.12633306975476,"Lat",12.5,2
1.11581195312328,"Lon",52.5,1
0.96385016584054,"Lon",77.5,1
0.897555329202078,"Lon",87.5,1
0.871353716553131,"Lat",7.5,2
0.76458748687628,"Lat",-22.5,1
0.635905722031112,"Lon",77.5,2
0.611063337580617,"Lat",17.5,2
0.553468205901481,"Lon",92.5,1
0.529790362903441,"Lon",82.5,2
0.389783459910632,"Lon",57.5,2
0.343107319646606,"Lon",67.5,1
0.322218002135287,"Lon",87.5,2
0.258073709889686,"Lon",62.5,2
0.0424093023093519,"Lon",92.5,2
