"Cell","Key","Value","Var_explained"
2,"Lat","-7.5",0.164170943892899
2,"Lon","57.5",0.149916053440267
2,"Lon","62.5",0.146129138761931
2,"Lon","72.5",0.141950234628325
3,"Lon","67.5",0.140323339287797
3,"Lat","2.5",0.139402617590259
2,"Lon","82.5",0.138686801330997
3,"Lon","47.5",0.138666703523217
2,"Lon","52.5",0.137713654750589
1,"Lon","37.5",0.137601280071751
3,"Lon","52.5",0.137589408430755
3,"Lon","72.5",0.137332944576284
2,"Lon","87.5",0.136746598908383
2,"Lon","77.5",0.136692942965318
3,"Lon","42.5",0.136432916968512
3,"Lat","12.5",0.135946714715894
2,"CQrt","124;3",0.135741604670373
2,"Lon","67.5",0.135598306198944
3,"Lat","7.5",0.135144762286119
2,"Lat","-12.5",0.135111166346869
2,"Lon","92.5",0.134975214259552
3,"Lon","77.5",0.134404239224458
3,"Lat","17.5",0.134326105797884
3,"Qrt","2",0.13431207319126
3,"CQrt","124;3",0.134196457489683
3,"Qrt","1",0.134128986319461
3,"Lon","82.5",0.134070488789293
3,"CQrt","14;23",0.133957389691428
2,"CQrt","134;2",0.133829967614567
2,"Qrt","2",0.13374967994432
3,"Lon","57.5",0.133630143817709
2,"CQrt","14;23",0.133565064146912
1,"Lat","-17.5",0.133538667866213
3,"Lon","87.5",0.133417639227231
2,"Qrt","3",0.133353039087995
1,"Lat","-22.5",0.13335110350957
2,"Lon","47.5",0.133245733482199
3,"Lon","62.5",0.133215894770762
3,"Qrt","3",0.133156854985874
2,"Qrt","1",0.133150030167154
3,"CQrt","134;2",0.132898195553121
1,"Lat","-12.5",0.132874735936227
1,"Qrt","2",0.13280589829988
1,"CQrt","134;2",0.132793483149117
1,"CQrt","14;23",0.132742156887494
1,"Qrt","3",0.132710704606468
1,"Qrt","1",0.13264107744642
1,"CQrt","124;3",0.132566336712449
3,"Lon","92.5",0.132537594377012
1,"Lat","-7.5",0.13251057761887
