"Cell","Key","Value","Var_explained","Rank"
1,"Lat","-2.5",0.08183139459003,1
1,"Lat","2.5",0.0468938288337011,2
2,"Lat","-2.5",0.0355414323914322,3
1,"Lon","42.5",0.0341229935681424,4
1,"Lon","47.5",0.0278890737548321,5
2,"Lat","2.5",0.0259004719968397,6
1,"Lon","37.5",0.0237224882182073,7
2,"Lon","67.5",0.0232809237344585,8
1,"Lat","7.5",0.0227468716931732,9
1,"Lon","52.5",0.0221311719589641,10
1,"Lat","-7.5",0.0207152752056153,11
2,"Qrt","1",0.0189233848588866,12
2,"CQrt","14;23",0.0184753804645411,13
1,"Lat","-12.5",0.0181532887966591,14
2,"CQrt","124;3",0.0180029793050915,15
1,"Lat","-17.5",0.0174712635781081,16
2,"Lat","12.5",0.0174039593290691,17
2,"Qrt","2",0.0169527976707499,18
2,"Lat","7.5",0.0168984356434526,19
2,"Lat","-7.5",0.0165420334245257,20
2,"Lon","72.5",0.0165141160677483,21
2,"Lon","82.5",0.0163594686761367,22
2,"Lon","77.5",0.0161518033319195,23
1,"Qrt","1",0.0161068400596139,24
1,"Qrt","2",0.0160942056058869,25
1,"CQrt","14;23",0.0159266318657903,26
2,"Lat","17.5",0.0158657760082936,27
1,"Lat","17.5",0.0157424725935018,28
1,"CQrt","124;3",0.0153190813807177,29
1,"Lat","12.5",0.0153063225829959,30
1,"Lat","-22.5",0.0152545366025992,31
1,"CQrt","134;2",0.0151677868243018,32
2,"Lon","87.5",0.0150764134644256,33
2,"CQrt","134;2",0.0147675327034546,34
2,"Qrt","3",0.0147477115496835,35
1,"Qrt","3",0.0147355111495202,36
2,"Lon","92.5",0.0140882414282609,37
2,"Lon","62.5",0.0139503282329055,38
