"Improve","Key","Value","Cell"
11.576401754777,"Lon",57.5,3
7.36842748610115,"Lon",62.5,3
4.43614487755667,"Lon",52.5,3
3.975162868707,"Lon",72.5,3
2.51787309272368,"Lon",67.5,4
2.40906708268267,"Lon",82.5,3
2.22513126141212,"Lat",2.5,4
1.99114868855759,"Lon",47.5,4
1.71298866844609,"Lon",77.5,3
1.65239919113844,"Lon",37.5,1
1.64862462393148,"Lon",52.5,4
1.60114843377687,"Lon",67.5,3
1.59821922505535,"Lon",87.5,3
1.56708239610816,"Lon",72.5,4
1.28092021394878,"Lon",42.5,4
1.12633306975476,"Lat",12.5,4
0.871353716553131,"Lat",7.5,4
0.695513390784754,"Lon",92.5,3
0.635905722031112,"Lon",77.5,4
0.611063337580617,"Lat",17.5,4
0.561346896625537,"Lon",62.5,2
0.552870697434969,"Lon",67.5,2
0.529790362903441,"Lon",82.5,4
0.487432294346718,"Lon",57.5,2
0.399180678605717,"Lon",92.5,2
0.390522182613495,"Lon",72.5,2
0.389783459910632,"Lon",57.5,4
0.374666404063646,"Lon",52.5,2
0.360698843318119,"Lat",-17.5,1
0.322218002135287,"Lon",87.5,4
0.301063088671299,"Lat",-22.5,1
0.258297792592884,"Lon",87.5,2
0.258073709889686,"Lon",62.5,4
0.235668816060183,"Lon",77.5,2
0.152671259854742,"Lat",-12.5,2
0.149602863317114,"Lat",-12.5,1
0.14465080351556,"Lon",47.5,3
0.123818848134306,"Lon",47.5,2
0.0424093023093519,"Lon",92.5,4
0.0338193719588844,"Lat",-7.5,1
0,"Lat",-2.5,3
