"Cell","Key","Value","Var_explained","Rank"
1,"Lat","-2.5",0.104360136282251,1
1,"Lon","42.5",0.0701634200453198,2
1,"Lon","47.5",0.0654221467496898,3
1,"Lon","57.5",0.0586474795548715,4
1,"Lon","37.5",0.0577610598937177,5
1,"Lat","-7.5",0.0568635358665817,6
1,"Lon","62.5",0.0550105660564104,7
1,"Lon","77.5",0.0541092836310198,8
1,"Lon","82.5",0.0540385004500487,9
1,"Lon","72.5",0.0532591449079428,10
1,"Lon","52.5",0.0525040502731379,11
1,"Lat","-12.5",0.0520589643222749,12
2,"Lat","12.5",0.0513564117773527,13
1,"Lon","87.5",0.0511925794006232,14
1,"Lat","-17.5",0.0508528842587126,15
1,"Lon","67.5",0.0507427921347045,16
1,"CQrt","14;23",0.0496827300208314,17
2,"Lon","47.5",0.0495525647345194,18
1,"Qrt","1;234",0.0491395577662908,19
1,"CQrt","134;2",0.0488232294920482,20
1,"Qrt","12;34",0.0484551916052067,21
1,"Lat","-22.5",0.0482395502317538,22
1,"Qrt","123;4",0.0481526399369804,23
2,"Lat","7.5",0.0480592088324597,24
2,"Lat","17.5",0.0479152396938748,25
1,"Lon","92.5",0.0478668237690393,26
2,"Lon","52.5",0.0475881776154847,27
1,"CQrt","124;3",0.0475700520285821,28
2,"Qrt","12;34",0.0470930902752123,29
2,"Lon","57.5",0.0470614756259232,30
2,"Qrt","1;234",0.0470071706363529,31
2,"CQrt","134;2",0.0469829977244113,32
2,"CQrt","14;23",0.046979137022938,33
2,"Lon","62.5",0.046928868090011,34
2,"Qrt","123;4",0.0469255904567985,35
2,"CQrt","124;3",0.0468656602038744,36
2,"Lon","87.5",0.0467874800697786,37
2,"Lon","67.5",0.0467566629420331,38
