"Cell","Key","Value","Var_explained"
1,"Lat","-7.5",0.145290690914814
1,"Lon","42.5",0.139402617590259
1,"Lon","37.5",0.125001686193593
1,"Lon","47.5",0.123632885879426
1,"Lat","-12.5",0.12097285899622
2,"Lon","47.5",0.117554808336753
1,"Lat","-17.5",0.113453839233724
2,"Lon","52.5",0.111062474773604
2,"Lon","67.5",0.110807024374123
1,"CQrt","134;2",0.110273215262392
1,"Lon","72.5",0.109915551697064
2,"Lon","42.5",0.10986028936719
1,"Qrt","2",0.109591672394806
1,"Lon","57.5",0.10940975249671
1,"Lon","62.5",0.109089571321125
3,"Lat","12.5",0.109066345452047
1,"Lon","82.5",0.108711561342399
2,"Lon","72.5",0.10859374824516
1,"Lon","52.5",0.107869550263205
1,"Lon","77.5",0.107391605194265
1,"CQrt","124;3",0.107279146741054
3,"Lon","47.5",0.107262498409214
1,"Lon","87.5",0.107183096918372
2,"Lon","77.5",0.106882901153257
1,"Lat","-22.5",0.106764890962099
1,"Qrt","3",0.106522631016463
1,"CQrt","14;23",0.106413481704545
2,"Lon","82.5",0.106410666948146
1,"Lon","92.5",0.106100885746681
2,"CQrt","124;3",0.105801909523608
3,"Lat","7.5",0.105769142507154
2,"Lon","57.5",0.105747473288194
2,"Lon","87.5",0.105737417482086
2,"CQrt","14;23",0.105660109722788
3,"Lat","17.5",0.105625173368569
2,"Lon","62.5",0.105599860123185
1,"Lon","67.5",0.10543926580866
3,"Lon","52.5",0.105298111290179
2,"Qrt","1",0.105243155020973
2,"Qrt","2",0.105221447582965
1,"Qrt","1",0.104993332374755
2,"Qrt","3",0.10486403654985
3,"Qrt","2",0.104803023949907
3,"Lon","57.5",0.104771409300618
3,"Qrt","1",0.104717104311047
3,"CQrt","134;2",0.104692931399106
3,"CQrt","14;23",0.104689070697633
3,"Lon","62.5",0.104638801764706
3,"Qrt","3",0.104635524131493
2,"CQrt","134;2",0.104612201975585
3,"CQrt","124;3",0.104575593878569
2,"Lon","92.5",0.104514047521812
3,"Lon","87.5",0.104497413744473
3,"Lon","67.5",0.104466596616728
2,"Lat","2.5",0.104360136282251
