"Cell","Key","Value","Var_explained"
1,"Lat","-2.5",0.104360136282251
1,"Lon","42.5",0.0701634200453196
1,"Lon","47.5",0.0654221467496903
1,"Lon","57.5",0.0586474795548718
1,"Lon","37.5",0.0577610598937179
1,"Lat","-7.5",0.056863535866582
1,"Lon","62.5",0.0550105660564107
1,"Lon","77.5",0.0541092836310201
1,"Lon","82.5",0.0540385004500489
1,"Lon","72.5",0.0532591449079433
1,"Lon","52.5",0.0525040502731382
1,"Lat","-12.5",0.0520589643222759
2,"Lat","12.5",0.0513564117773529
1,"Lon","87.5",0.0511925794006239
1,"Lat","-17.5",0.0508528842587129
1,"Lon","67.5",0.0507427921347055
1,"CQrt","14;23",0.0496827300208319
2,"Lon","47.5",0.0495525647345196
1,"Qrt","1",0.0491395577662913
1,"CQrt","134;2",0.0488232294920491
1,"Qrt","2",0.0484551916052074
1,"Lat","-22.5",0.048239550231754
1,"Qrt","3",0.0481526399369809
2,"Lat","7.5",0.0480592088324599
2,"Lat","17.5",0.0479152396938749
1,"Lon","92.5",0.04786682376904
2,"Lon","52.5",0.0475881776154849
1,"CQrt","124;3",0.0475700520285831
2,"Qrt","2",0.0470930902752124
2,"Lon","57.5",0.0470614756259231
2,"Qrt","1",0.0470071706363531
2,"CQrt","134;2",0.0469829977244116
2,"CQrt","14;23",0.046979137022938
2,"Lon","62.5",0.0469288680900112
2,"Qrt","3",0.0469255904567986
2,"CQrt","124;3",0.0468656602038745
2,"Lon","87.5",0.0467874800697787
2,"Lon","67.5",0.0467566629420334
