"Cell","Key","Value","Var_explained","Rank"
2,"Lat","-7.5",0.149531069386695,1
2,"Lon","42.5",0.137601280071751,2
2,"Lon","47.5",0.12870293340349,3
3,"Lon","67.5",0.125922407891131,4
2,"Lon","57.5",0.125394737422003,5
3,"Lat","2.5",0.125001686193593,6
2,"Lon","62.5",0.124804932445072,7
2,"Lon","72.5",0.124603362070353,8
3,"Lon","47.5",0.124265772126551,9
2,"Lat","-12.5",0.123429435410846,10
3,"Lon","52.5",0.123188477034089,11
3,"Lon","72.5",0.122932013179618,12
2,"Lon","82.5",0.122860100576621,13
3,"Lon","42.5",0.122031985571846,14
3,"Lat","12.5",0.121545783319229,15
2,"CQrt","134;2",0.121370279858966,16
2,"Lon","77.5",0.121293242051328,17
2,"Lon","87.5",0.121249249994987,18
2,"Qrt","2",0.121243563690795,19
2,"CQrt","124;3",0.120831904683223,20
3,"Lat","7.5",0.120743830889453,21
2,"Lat","-17.5",0.120674818812492,22
3,"Lon","77.5",0.120003307827792,23
2,"Lon","92.5",0.119984341748759,24
3,"Lat","17.5",0.119925174401218,25
3,"Qrt","2",0.119911141794594,26
2,"Lon","52.5",0.119841265180154,27
3,"CQrt","124;3",0.119795526093018,28
3,"Qrt","1",0.119728054922795,29
3,"Lon","82.5",0.119669557392627,30
3,"CQrt","14;23",0.119556458294762,31
2,"Lon","67.5",0.11942886141894,32
3,"Lon","57.5",0.119229212421043,33
2,"Qrt","3",0.119177949472871,34
2,"CQrt","14;23",0.119115260934864,35
3,"Lon","87.5",0.119016707830565,36
3,"Lon","62.5",0.118814963374096,37
3,"Qrt","3",0.118755923589209,38
2,"Lat","-22.5",0.118587555203518,39
2,"Qrt","1",0.118587234203346,40
3,"CQrt","134;2",0.118497264156455,41
1,"Qrt","1",0.118311388761099,42
1,"CQrt","14;23",0.118311388761099,43
1,"Lat","-22.5",0.11825284709324,44
1,"Lat","-7.5",0.118216895748591,45
1,"Lat","-12.5",0.118203321189391,46
1,"Lat","-17.5",0.118152000959301,47
3,"Lon","92.5",0.118136662980346,48
1,"Qrt","2",0.118119185894738,49
1,"Lon","37.5",0.11800327867842,50
