"","Improvement","Key","Value","Cell","Var_explained"
"Split1",30.9559890410892,"Lat",-2.5,NA,0.0973617287670778
"Split2",13.0137972763655,"Lat",-7.5,1,0.13829228339964
"Split3",7.44673680190181,"Lon",42.5,2,0.161713507891749
