"Cell","Key","Value","Var_explained","Rank"
2,"Lon","42.5",0.161713507891749,1
2,"Lon","57.5",0.155624532778279,2
2,"Lon","62.5",0.150860037738777,3
2,"Lon","72.5",0.147068108876442,4
3,"Lon","67.5",0.146211412612352,5
2,"Lon","47.5",0.145973945714742,6
3,"Lat","2.5",0.145290690914814,7
1,"Lon","37.5",0.145257665954083,8
3,"Lon","47.5",0.144554776847772,9
2,"Lon","82.5",0.144326042701615,10
3,"Lon","52.5",0.14347748175531,11
3,"Lon","72.5",0.143221017900839,12
2,"Lon","37.5",0.142779303902424,13
2,"Lon","77.5",0.14240160695869,14
3,"Lon","42.5",0.142320990293067,15
2,"Lon","87.5",0.14215960972729,16
3,"Lat","12.5",0.141834788040449,17
2,"Lon","52.5",0.14118760506089,18
3,"Lat","7.5",0.141032835610673,19
1,"Lat","-17.5",0.140879308258884,20
1,"Lon","42.5",0.140856086944575,21
2,"Lon","67.5",0.140815473501892,22
3,"Lon","77.5",0.140292312549013,23
3,"Lat","17.5",0.140214179122439,24
3,"Qrt","2",0.140200146515815,25
2,"Lon","92.5",0.140141497795291,26
3,"CQrt","124;3",0.140084530814238,27
3,"Qrt","1",0.140017059644016,28
3,"Lon","82.5",0.139958562113848,29
3,"CQrt","14;23",0.139845463015983,30
1,"Lon","67.5",0.13961305565301,31
1,"Lat","-22.5",0.139572922843003,32
3,"Lon","57.5",0.139518217142264,33
1,"Lon","62.5",0.139395853887897,34
1,"Lon","92.5",0.139330437883076,35
3,"Lon","87.5",0.139305712551786,36
1,"Lat","-12.5",0.139250969377442,37
1,"CQrt","124;3",0.139186396346927,38
1,"Lon","72.5",0.139185314859641,39
3,"Lon","62.5",0.139103968095317,40
1,"Lon","57.5",0.139097232518168,41
2,"CQrt","134;2",0.13909105329074,42
1,"CQrt","134;2",0.139050899034273,43
3,"Qrt","3",0.13904492831043,44
2,"Qrt","1",0.139039654655587,45
2,"Qrt","2",0.139005494105148,46
2,"CQrt","14;23",0.138968422896947,47
1,"Lon","47.5",0.138944561711665,48
1,"CQrt","14;23",0.138938709633535,49
1,"Lon","87.5",0.138926594142614,50
2,"Qrt","3",0.138864321251121,51
1,"Lon","77.5",0.138832669424682,52
1,"Qrt","3",0.138805826859836,53
3,"CQrt","134;2",0.138786268877676,54
1,"Qrt","2",0.13877556429052,55
1,"Lon","52.5",0.138703281373625,56
1,"Qrt","1",0.138701207280708,57
2,"CQrt","124;3",0.138647211485701,58
3,"Lon","92.5",0.138425667701567,59
2,"Lat","-2.5",0.13829228339964,60
