"Cell","Key","Value","Var_explained","Rank"
2,"Lat","-7.5",0.164170943892899,1
2,"Lon","57.5",0.149916053440267,2
2,"Lon","62.5",0.146129138761931,3
2,"Lon","72.5",0.141950234628325,4
3,"Lon","67.5",0.140323339287797,5
3,"Lat","2.5",0.139402617590259,6
2,"Lon","82.5",0.138686801330997,7
3,"Lon","47.5",0.138666703523217,8
2,"Lon","52.5",0.137713654750589,9
1,"Lon","37.5",0.137601280071751,10
3,"Lon","52.5",0.137589408430755,11
3,"Lon","72.5",0.137332944576284,12
2,"Lon","87.5",0.136746598908383,13
2,"Lon","77.5",0.136692942965318,14
3,"Lon","42.5",0.136432916968512,15
3,"Lat","12.5",0.135946714715894,16
2,"CQrt","124;3",0.135741604670373,17
2,"Lon","67.5",0.135598306198944,18
3,"Lat","7.5",0.135144762286119,19
2,"Lat","-12.5",0.135111166346869,20
2,"Lon","92.5",0.134975214259552,21
3,"Lon","77.5",0.134404239224458,22
3,"Lat","17.5",0.134326105797884,23
3,"Qrt","12;34",0.13431207319126,24
3,"CQrt","124;3",0.134196457489683,25
3,"Qrt","1;234",0.134128986319461,26
3,"Lon","82.5",0.134070488789293,27
3,"CQrt","14;23",0.133957389691428,28
2,"CQrt","134;2",0.133829967614567,29
2,"Qrt","12;34",0.13374967994432,30
3,"Lon","57.5",0.133630143817709,31
2,"CQrt","14;23",0.133565064146912,32
1,"Lat","-17.5",0.133538667866213,33
3,"Lon","87.5",0.133417639227231,34
2,"Qrt","123;4",0.133353039087995,35
1,"Lat","-22.5",0.13335110350957,36
2,"Lon","47.5",0.133245733482199,37
3,"Lon","62.5",0.133215894770762,38
3,"Qrt","123;4",0.133156854985874,39
2,"Qrt","1;234",0.133150030167154,40
3,"CQrt","134;2",0.132898195553121,41
1,"Lat","-12.5",0.132874735936227,42
1,"Qrt","12;34",0.13280589829988,43
1,"CQrt","134;2",0.132793483149117,44
1,"CQrt","14;23",0.132742156887494,45
1,"Qrt","123;4",0.132710704606468,46
1,"Qrt","1;234",0.13264107744642,47
1,"CQrt","124;3",0.132566336712449,48
3,"Lon","92.5",0.132537594377012,49
1,"Lat","-7.5",0.13251057761887,50
