"Improve","Key","Value","Cell"
10.024205157551,"Lat","-7.5",2
6.23114979614365,"Lon","42.5",2
3.40193624956146,"Lon","47.5",2
2.51787309272368,"Lon","67.5",3
2.35010120261359,"Lon","57.5",2
2.22513126141212,"Lat","2.5",3
2.16257375591022,"Lon","62.5",2
2.09848481264908,"Lon","72.5",2
1.99114868855759,"Lon","47.5",3
1.72523691260722,"Lat","-12.5",2
1.64862462393148,"Lon","52.5",3
1.56708239610816,"Lon","72.5",3
1.54421791148434,"Lon","82.5",2
1.28092021394878,"Lon","42.5",3
1.12633306975476,"Lat","12.5",3
1.07053205572947,"CQrt","134;2",2
1.04603802137763,"Lon","77.5",2
1.03205082505974,"Lon","87.5",2
1.03024287472408,"Qrt","2",2
0.899356623129734,"CQrt","124;3",2
0.871353716553131,"Lat","7.5",3
0.849411449040417,"Lat","-17.5",2
0.635905722031112,"Lon","77.5",3
0.629875490828454,"Lon","92.5",2
0.611063337580617,"Lat","17.5",3
0.606601695184509,"Qrt","2",3
0.584384549512833,"Lon","52.5",2
0.569841887853272,"CQrt","124;3",3
0.548389548904652,"Qrt","1",3
0.529790362903441,"Lon","82.5",3
0.493830705259825,"CQrt","14;23",3
0.453261504818329,"Lon","67.5",2
0.389783459910632,"Lon","57.5",3
0.373484496428318,"Qrt","3",2
0.353552786913951,"CQrt","14;23",2
0.322218002135287,"Lon","87.5",3
0.258073709889686,"Lon","62.5",3
0.239302114960992,"Qrt","3",3
0.185769685244395,"Lat","-22.5",2
0.185667623808968,"Qrt","1",2
0.157061806915408,"CQrt","134;2",3
0.0979630545147927,"Qrt","1",1
0.0793498350123514,"Lat","-22.5",1
0.067919168722085,"Lat","-7.5",1
0.0667216558756252,"CQrt","2;1,3",1
0.063603161692015,"Lat","-12.5",1
0.047285985524411,"Lat","-17.5",1
0.0424093023093519,"Lon","92.5",3
0.0368524939271708,"Qrt","2",1
0,"Lon","37.5",1
