"Cell","Key","Value","Var_explained","Rank"
1,"Lon","47.5",0.0886728975789626,1
1,"Lat","-2.5",0.0860331987854358,2
1,"Lon","42.5",0.0835918890969858,3
3,"Lat","-2.5",0.0686997129678305,4
1,"Lon","52.5",0.0669227764370625,5
1,"Lon","37.5",0.0603101054280614,6
3,"Lat","2.5",0.059058752573238,7
1,"Lat","-7.5",0.0580892275630573,8
3,"Lon","67.5",0.0564392043108568,9
1,"Lat","-12.5",0.0543008734226324,10
1,"Lat","-17.5",0.0523736502660835,11
3,"Qrt","1",0.0520816654352849,12
3,"CQrt","14;23",0.0516336610409394,13
3,"CQrt","124;3",0.0511612598814899,14
3,"Lat","12.5",0.0505622399054674,15
3,"Qrt","2",0.0501110782471482,16
3,"Lat","7.5",0.050056716219851,17
1,"CQrt","134;2",0.0497918463431165,18
1,"CQrt","14;23",0.04977961015286,19
3,"Lat","-7.5",0.0497003140009239,20
3,"Lon","72.5",0.0496723966441466,21
2,"Lon","47.5",0.0495935524063364,22
3,"Lon","82.5",0.0495177492525353,23
3,"Lon","77.5",0.0493100839083177,24
1,"Qrt","3",0.0491198000979344,25
3,"Lat","17.5",0.0490240565846922,26
1,"Qrt","2",0.0488613983124755,27
1,"Lat","-22.5",0.0487415873535032,28
3,"Lon","87.5",0.0482346940408239,29
3,"CQrt","134;2",0.047925813279853,30
3,"Qrt","3",0.0479059921260816,31
2,"Lon","52.5",0.0479051480388644,32
1,"Qrt","1",0.0476417050544066,33
2,"Lat","7.5",0.0476303891019419,34
1,"CQrt","124;3",0.0475725122669106,35
2,"Lat","17.5",0.0473296907485374,36
3,"Lon","92.5",0.0472465220046591,37
2,"Qrt","1",0.0471903624656668,38
2,"Qrt","2",0.0471560320625271,39
2,"Lat","12.5",0.0471299497118073,40
3,"Lon","62.5",0.0471086088093038,41
2,"CQrt","134;2",0.047054105150764,42
2,"CQrt","14;23",0.0470382935479653,43
2,"Qrt","3",0.0470156924573272,44
2,"CQrt","124;3",0.0469801959772469,45
