"Cell","Key","Value","Var_explained","Rank"
2,"Lat","-2.5",0.11335509833029,1
2,"Lon","57.5",0.100426548300133,2
1,"Lat","-2.5",0.0888946063533273,3
2,"Lon","62.5",0.0843354753581903,4
2,"Lon","52.5",0.0752224460526931,5
2,"Lon","77.5",0.0746320012644393,6
2,"Lon","82.5",0.0745403921434057,7
1,"Lon","42.5",0.0735300461332585,8
2,"Lon","72.5",0.0735164973060422,9
2,"Lat","-7.5",0.0724565442958288,10
2,"Lon","87.5",0.0714084328554472,11
1,"Lon","37.5",0.0711438580433428,12
3,"Lat","12.5",0.0701283559194863,13
2,"Lon","67.5",0.0686298660104667,14
3,"Lon","47.5",0.0683245088766529,15
2,"Qrt","1",0.0675362232355389,16
1,"Lat","-7.5",0.0671245600154589,17
1,"Lat","-17.5",0.0671212522822811,18
2,"Lon","92.5",0.0671037754295961,19
2,"Qrt","2",0.0670453411749366,20
2,"CQrt","14;23",0.0668412962240528,21
3,"Lat","7.5",0.0668311529745932,22
2,"Qrt","3",0.0667220210809044,23
3,"Lat","17.5",0.0666871838360083,24
1,"Lat","-22.5",0.0665349937721535,25
1,"Qrt","2",0.0664041312937198,26
3,"Lon","52.5",0.0663601217576182,27
2,"CQrt","134;2",0.0662859796068353,28
1,"Lat","-12.5",0.0662452909244926,29
2,"CQrt","124;3",0.0660204247834802,30
1,"Qrt","1",0.0660203414000332,31
1,"CQrt","14;23",0.0660160336092215,32
1,"CQrt","134;2",0.0659776856437347,33
1,"CQrt","124;3",0.0659511752333043,34
1,"Qrt","3",0.0659180629353193,35
2,"Lat","-12.5",0.0659006311310348,36
3,"Qrt","2",0.0658650344173458,37
3,"Lon","57.5",0.0658334197680565,38
3,"Qrt","1",0.0657791147784864,39
3,"CQrt","134;2",0.065754941866545,40
3,"CQrt","14;23",0.0657510811650713,41
3,"Lon","62.5",0.0657008122321446,42
3,"Qrt","3",0.065697534598932,43
3,"CQrt","124;3",0.0656376043460079,44
3,"Lon","87.5",0.0655594242119121,45
3,"Lon","67.5",0.0655286070841668,46
